Body,Head,Head_Coverage,Std_Confidence,PCA_Confidence,Positiv_ Examples,Body_size,PCA_Body_size,Functional_variable
?c  ResponseCode  7  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_03   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  M004_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_10   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_02   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_07   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?c  ResponseCode  4  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.384615385,0.384615385,15,39,39,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  positive   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?c  ResponseCode  1  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  very_negative   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?c  ResponseLabel  [3]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  very_positive   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_05   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  ResponseCode  8  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseCode  10  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  Scale value 6  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  Scale value 9  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  Scale value 4  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  [4]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseCode  3  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_08   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  M003_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?c  ResponseCode  6  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.555555556,0.555555556,5,9,9,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  SU01_04   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  ResponseCode  9  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  Scale value 3  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  Scale value 7  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  Scale value 8  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  trifft voll zu  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?c  ResponseLabel  trifft gar nicht zu  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?c  ResponseLabel  [2]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  Likert response 3  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?c  ResponseLabel  Scale value 5  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseCode  2  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.375,0.375,15,40,40,?a
?c  ResponseLabel  ?berhaupt nicht [1]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.010989011,1,1,3,3,3,?a
?c  ResponseLabel  [7]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  [5]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  not at all [1]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.010989011,1,1,3,3,3,?a
?c  ResponseLabel  Likert response 4  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?c  ResponseLabel  Scale value 2  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  [8]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  [9]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  [6]  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,1,1,5,5,5,?a
?c  ResponseLabel  fully applies  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?c  ResponseLabel  does not apply at all  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  M006_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_01   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  ResponseCode  5  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.054945055,0.384615385,0.384615385,15,39,39,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_05   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  positive   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?c  ResponseLabel  Likert response 2  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,1,1,10,10,10,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_09   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  type  Answer   , ?a  hasAnswerScale_Type  Ordinal,0.366300366,0.366300366,0.366300366,100,273,273,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  M002_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_06   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_08   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  M010_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_03   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  M003_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?a  ResponseCode  2  ?a  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.705882353,0.705882353,24,34,34,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  M004_01   , ?a  hasAnswerScale_Type  Ordinal,0.036630037,0.909090909,0.909090909,10,11,11,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_04   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_10   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_02   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  SU01_07   , ?a  hasAnswerScale_Type  Ordinal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?d  belongsTo  ME1  ?a  is_Answer_To  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.183150183,0.793650794,0.793650794,50,63,63,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  very_negative   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  very_positive   , ?a  hasAnswerScale_Type  Ordinal,0.073260073,0.454545455,0.454545455,20,44,44,?a
?a  is_Answer_To  ?d  ?d  type  Question   , ?a  hasAnswerScale_Type  Ordinal,0.366300366,0.366300366,0.366300366,100,273,273,?a
?d  hasQuestion_Category  Agreement  ?a  is_Answer_To  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.183150183,0.520833333,0.520833333,50,96,96,?a
?d  hasQuestion_Category  Degree  ?a  is_Answer_To  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.146520147,0.8,0.8,40,50,50,?a
?d  belongsTo  SUS  ?a  is_Answer_To  ?d   , ?a  hasAnswerScale_Type  Ordinal,0.183150183,0.833333333,0.833333333,50,60,60,?a
?a  ResponseCode  3  ?a  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.705882353,0.705882353,24,34,34,?a
?a  ResponseCode  4  ?a  hasAnswer_Category  positive   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.705882353,0.705882353,24,34,34,?a
?a  ResponseCode  5  ?a  hasAnswer_Category  very_positive   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.705882353,0.705882353,24,34,34,?a
?d  ResponseCode  5  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.615384615,0.615384615,24,39,39,?a
?a  hasAnswerId  ?d  ?d  type  Answer   , ?a  hasAnswerScale_Type  Nominal,0.465201465,0.465201465,0.465201465,127,273,273,?a
?d  ResponseLabel  4 4  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?d  ResponseLabel  2  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?d  ResponseCode  1  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?d  ResponseLabel  3 3  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.025641026,1,1,7,7,7,?a
?d  ResponseLabel  1 Strongly disagree  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?d  ResponseLabel  1 Stimme ?berhaupt nicht zu  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?d  ResponseLabel  3  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.025641026,1,1,7,7,7,?a
?d  ResponseLabel  5 Stimme sehr zu  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM22   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?d  ResponseCode  3  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?d  ResponseCode  6  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.014652015,0.444444444,0.444444444,4,9,9,?a
?d  ResponseCode  2  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM14   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM15   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?d  ResponseCode  4  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.615384615,0.615384615,24,39,39,?a
?d  hasAnswerId  ?a  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.465201465,0.465201465,0.465201465,127,273,273,?a
?d  ResponseLabel  2 2  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM11   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?d  ResponseLabel  5 Strongly agree  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM10   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM01   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM06   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?d  ResponseLabel  4  ?a  hasAnswerId  ?d   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM24   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM17   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM08   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM03   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  positive   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM09   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  Format   , ?a  hasAnswerScale_Type  Nominal,0.010989011,1,1,3,3,3,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM18   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM02   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  M005   , ?a  hasAnswerScale_Type  Nominal,0.010989011,0.75,0.75,3,4,4,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM20   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM04   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM21   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM12   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM19   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM25   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM23   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM16   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM13   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?a  hasAnswerId  ?d  ?d  is_Answer_To  UM07   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  very_positive   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  very_negative   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  NoInfo   , ?a  hasAnswerScale_Type  Nominal,0.014652015,1,1,4,4,4,?a
?c  ResponseLabel  4 4  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?c  ResponseLabel  5 Stimme sehr zu  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?c  ResponseCode  3  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?c  ResponseCode  6  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.014652015,0.444444444,0.444444444,4,9,9,?a
?c  ResponseCode  2  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?c  ResponseCode  1  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.091575092,0.625,0.625,25,40,40,?a
?c  ResponseCode  4  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.615384615,0.615384615,24,39,39,?a
?c  ResponseCode  5  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.615384615,0.615384615,24,39,39,?a
?c  ResponseLabel  3 3  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.025641026,1,1,7,7,7,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM12   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?c  ResponseLabel  2 2  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM06   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  ResponseLabel  1 Strongly disagree  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?c  hasAnswerId  ?a  ?c  type  Answer   , ?a  hasAnswerScale_Type  Nominal,0.465201465,0.465201465,0.465201465,127,273,273,?a
?a  hasAnswerId  ?d  ?d  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?c  ResponseLabel  5 Strongly agree  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?c  ResponseLabel  3  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.025641026,1,1,7,7,7,?a
?c  ResponseLabel  1 Stimme ?berhaupt nicht zu  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.021978022,1,1,6,6,6,?a
?c  ResponseLabel  4  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM22   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM17   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM15   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM11   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM10   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM03   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM14   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM07   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM09   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM18   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM02   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  M005   , ?a  hasAnswerScale_Type  Nominal,0.010989011,0.75,0.75,3,4,4,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  neutral   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?c  ResponseLabel  2  ?c  hasAnswerId  ?a   , ?a  hasAnswerScale_Type  Nominal,0.029304029,1,1,8,8,8,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM20   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  NoInfo   , ?a  hasAnswerScale_Type  Nominal,0.014652015,1,1,4,4,4,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM04   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM21   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM01   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM19   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM23   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM25   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM24   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM16   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM08   , ?a  hasAnswerScale_Type  Nominal,0.018315018,0.833333333,0.833333333,5,6,6,?a
?a  ResponseCode  ?b  ?a  hasAnswerScale_Type  Nominal   , ?a  ResponseLabel  ?b,0.045725646,0.181102362,0.181102362,23,127,127,?a
?c  hasAnswerId  ?a  ?c  is_Answer_To  UM13   , ?a  hasAnswerScale_Type  Nominal,0.021978022,0.857142857,0.857142857,6,7,7,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  negative   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  ResponseCode  ?b  ?a  hasAnswer_Category  positive   , ?a  ResponseLabel  ?b,0.015904573,0.181818182,0.181818182,8,44,44,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  positive   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?c  hasAnswerId  ?a  ?c  hasAnswer_Category  very_negative   , ?a  hasAnswerScale_Type  Nominal,0.087912088,0.545454545,0.545454545,24,44,44,?a
?a  ResponseCode  3  ?a  ResponseCode  ?b   , ?a  ResponseLabel  ?b,0.013916501,0.175,0.175,7,40,40,?a
